"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L164","<T extends Interface> void genericMethod(T t)","Helper.genericMethod(LInterface;)V","L159","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","51","2","54","3","51.0195","7.5","600","71.1379","20","16","33.3333","80","125.525","73.4067","105.496","61.6936","1","0","0","1","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L169","Child1 instantiateChild1()","Helper.instantiateChild1()LChild1;","L159","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","55","2","58","3","35.2193","5","268.872","41.6579","15","12","14.9373","53.7744","127.591","74.6147","108.476","63.4362","1","0","0","1","1","0","0","0","0","0","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L175","void generic(T t)","Generic1.generic(LInterface;)V","L173","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","63","2","66","3","33.2842","6","344.156","49.1101","16","12","19.1198","57.3594","127.255","74.4184","107.992","63.1531","1","0","0","4","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L182","void generic(T t, K k)","Generic2.generic(LInterface;LGeneric1;)V","L180","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","70","2","74","3","46.0537","9.625","902.492","93.389","24","15","50.1384","93.7654","121.085","70.8099","99.0897","57.9472","1","0","0","3","3","0","0","0","0","0","5","5","3","2","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L203","void foo()","Generic3.foo()V","L197","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","79","2","82","3","40.0537","5.5","325.639","47.3323","16","13","18.091","59.207","127.091","74.322","107.754","63.014","1","0","0","1","2","0","0","0","0","0","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","void inner()","Outer.inner()V","L204","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","86","2","89","3","40.0537","5.5","345.991","49.2845","17","13","19.2217","62.9075","126.775","74.1376","107.299","62.7481","1","0","0","1","2","0","0","0","0","0","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","Init(Interface i)","Init.<init>(LInterface;)V","L218","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","118","2","121","3","36.5293","5.625","333.04","48.0467","16","13","18.5022","59.207","127.091","74.322","107.754","63.014","1","0","0","1","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","void staticInit()","StaticInit.staticInit()V","L235","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","135","2","137","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L245","boolean compare(int a1, int a2)","Lambda.compare(II)Z","L244","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","141","5","141","37","-nan(ind)","0","-nan(ind)","-nan(ind)","0","0","-nan(ind)","-nan(ind)","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L255","Constructor()","Constructor.<init>()V","L254","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","145","2","147","3","17.5098","3","81","18.7208","9","8","4.5","27","135.834","79.4352","120.368","70.3908","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L258","void foo()","Overload.foo()V","L256","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","151","2","153","3","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L259","void foo(int i)","Overload.foo(I)V","L256","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","154","2","156","3","24.4064","3.5","116.267","23.8217","10","10","6.4593","33.2193","134.756","78.8048","118.813","69.4813","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L261","<T extends Object> void foo(T t)","Overload.foo(Ljava/lang/Object;)V","L256","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","157","2","159","3","32","4","172.078","30.9374","12","12","9.5599","43.0195","133.412","78.0186","116.874","68.3471","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","void foo(int i, Object[] objects)","Overload.foo(I[Ljava/lang/Object;)V","L256","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","160","2","162","3","36.5293","4.5","216.476","36.0528","13","13","12.0264","48.1057","132.831","77.6788","116.035","67.8569","1","0","0","1","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L280","void foo()","ForParser.foo()V","L271","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","176","7","178","3","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","156.223","91.3586","1","0","0","1","1","0.25","1","0","0.25","1","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L281","void goo()","ForParser.goo()V","L271","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","180","7","182","3","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L282","Generic2<Child2, Generic1<Child2>> validMethod(Child2 c, Generic1<Child2> g, Class<?>[] objects)","ForParser.validMethod(LChild2;LGeneric1;[Ljava/lang/Class;)LGeneric2;","L271","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","184","2","190","3","84.9966","14.1667","3332.36","223.101","52","23","185.131","235.225","113.349","66.2858","87.9285","51.4202","1","0","0","1","2","0","0","0","0","0","6","7","4","3","6","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L303","<T extends Object, K extends Child2> Generic2<Child2, Generic1<Child2>> validGenericMethod(K c, Generic1<K> g, Class<?>[] objects)","ForParser.validGenericMethod(LChild2;LGeneric1;[Ljava/lang/Class;)LGeneric2;","L271","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","192","2","198","3","110.439","13.75","4098.27","256.095","62","28","227.682","298.056","112.118","65.5659","86.1525","50.3816","1","0","0","1","2","0","0","0","0","0","6","7","4","3","6","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L317","void main(String[] args)","CallEdgeExamples.main([Ljava/lang/String;)V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","217","2","230","3","108.797","53.6667","17658","678.101","70","26","980.999","329.031","97.8773","57.2382","65.608","38.3673","1","0","0","0","11","0","0","0","0","0","14","14","12","1","14","14","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L323","void polimorphic()","CallEdgeExamples.polimorphic()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","232","2","246","3","103.848","21","6810.94","359.312","69","26","378.385","324.33","100.449","58.7423","69.3187","40.5373","1","0","0","1","6","0","0","0","0","0","12","15","10","0","12","15","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L325","void innerClass()","CallEdgeExamples.innerClass()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","248","2","253","3","42.8086","7.33333","586.333","70.0534","21","14","32.574","79.9545","121.914","71.2945","100.285","58.6462","1","0","0","1","2","0","0","0","0","0","5","6","3","0","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L327","void anonim()","CallEdgeExamples.anonim()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","255","2","273","3","72","16","3042.64","209.975","44","20","169.035","190.165","106.179","62.093","77.585","45.3714","1","0","0","1","4","0","0","0","0","0","10","12","6","0","17","19","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L329","void nested()","CallEdgeExamples.nested()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","275","2","280","3","60.6034","7.5","766.399","83.7472","25","17","42.5777","102.187","120.638","70.5484","98.4444","57.5699","1","0","0","1","3","0","0","0","0","0","5","6","3","0","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L331","void local()","CallEdgeExamples.local()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","282","2","291","3","40.0537","5.5","366.344","51.1987","18","13","20.3524","66.6079","122.863","71.8498","101.655","59.4474","1","0","0","1","2","0","0","0","0","0","5","6","3","0","9","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L333","void generic()","CallEdgeExamples.generic()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","293","2","311","3","175.736","28.3333","21863.9","781.902","146","39","1214.66","771.669","94.6453","55.3481","60.9453","35.6405","1","0","0","1","7","0","0","0","0","0","13","19","11","0","13","19","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L335","void init()","CallEdgeExamples.init()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","313","2","319","3","50.1057","6.5","558.685","67.8336","22","15","31.0381","85.9516","121.537","71.0745","99.7424","58.3289","1","0","0","1","3","0","0","0","0","0","5","7","3","0","5","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L339","void contructor()","CallEdgeExamples.contructor()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","321","2","325","3","30.5293","4.5","202.377","34.4699","13","11","11.2432","44.9726","128.521","75.1582","109.817","64.2204","1","0","0","1","2","0","0","0","0","0","4","5","2","0","4","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L337","void lambda()","CallEdgeExamples.lambda()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","327","2","332","3","40.139","5.4","390.635","53.4376","19","14","21.7019","72.3397","122.434","71.5988","101.036","59.0853","1","0","0","1","2","0","0","0","0","0","5","6","3","0","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L341","void overload()","CallEdgeExamples.overload()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","333","2","341","3","68.8127","14","2480.79","183.257","41","20","137.821","177.199","110.161","64.4218","83.33","48.731","1","0","0","1","5","0","0","0","0","0","8","9","6","0","8","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L343","void parser()","CallEdgeExamples.parser()V","L314","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","343","2","350","3","47.7744","12","1453.36","128.307","31","15","80.7424","121.114","114.303","66.844","89.3057","52.2256","1","0","0","1","3","0","0","0","0","0","7","8","5","0","7","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","void inner()","Outer$Inner.inner()V","L209","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","92","3","94","4","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","void staticNested()","Outer$Nested.staticNested()V","L214","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","98","3","100","4","26","4","132.877","26.0396","10","10","7.38206","33.2193","134.756","78.8048","118.813","69.4813","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217","void nested()","Outer$Nested.nested()V","L214","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","102","3","104","4","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L356","void foo()","CallEdgeExamples$1.foo()V","L355","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","259","4","261","5","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L361","void generic(Child1 c)","CallEdgeExamples$2.generic(LChild1;)V","L360","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","267","4","270","5","33.2842","6","344.156","49.1101","16","12","19.1198","57.3594","127.255","74.4184","107.992","63.1531","1","0","0","0","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L370","void foo()","CallEdgeExamples$1Local.foo()V","L368","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","286","4","288","5","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
